cid000003696	ensp00000261707	inhibitor	inhibitor
cid000003386	ensp00000261707	inhibitor	inhibitor
cid000060834	ensp00000261707	inhibitor	inhibitor
cid000004543	ensp00000261707	inhibitor	inhibitor
cid000002170	ensp00000261707	inhibitor	inhibitor
cid000004020	ensp00000261707	inhibitor	inhibitor
cid000005533	ensp00000261707	inhibitor	inhibitor
cid000004691	ensp00000261707	inhibitor	inhibitor
cid000005584	ensp00000261707	inhibitor	inhibitor
cid000005032	ensp00000261707	inhibitor	inhibitor
cid000002826	ensp00000261707	inhibitor	inhibitor
cid000005203	ensp00000261707	inhibitor	inhibitor
cid000005210	ensp00000261707	inhibitor	inhibitor
cid000003158	ensp00000261707	inhibitor	inhibitor
cid000004449	ensp00000261707	inhibitor	inhibitor
cid000002995	ensp00000261707	inhibitor	inhibitor
cid000003337	ensp00000261707	inhibitor	inhibitor
cid000002801	ensp00000261707	inhibitor	inhibitor
cid000055480	ensp00000261707	inhibitor	inhibitor
cid000125017	ensp00000261707	inhibitor	inhibitor
cid000052194	ensp00000328968	inhibitor	inhibitor
cid000056959	ensp00000328968	inhibitor	inhibitor
cid000001775	ensp00000328968	inhibitor	inhibitor
cid000003114	ensp00000328968	inhibitor	inhibitor
cid000003676	ensp00000328968	inhibitor	inhibitor
cid000004178	ensp00000328968	inhibitor	inhibitor
cid000010770	ensp00000328968	inhibitor	inhibitor
cid000003025	ensp00000328968	inhibitor	inhibitor
cid000002554	ensp00000328968	inhibitor	inhibitor
